"Arini, BV", 45°53'12.84"N, 25°33'51.58"E,,
"Armenis, CS", 45°12'32.01"N, 22°18'36.20"E,,
"Arpasu de Jos, SB", 45°46'42.64"N, 24°37'9.83"E,,
"Arpasu de Sus, SB", 45°43'52.75"N, 24°37'6.02"E,,
"Asau, BC", 46°26'16.20"N, 26°24'3.46"E,,
"Astileu, BH", 47° 1'42.58"N, 22°23'30.51"E,,
"Auseu, BH", 47° 2'9.48"N, 22°29'39.82"E,,
"Bacau, BC", 46°34'9.50"N, 26°54'39.38"E,,
"Baciu, CJ", 46°47'32.80"N, 23°31'29.85"E,,
"Badesti, CJ", 46°58'12.04"N, 23°38'11.93"E,,
"Badeuti, SV", 47°48'9.61"N, 25°58'57.70"E,,
"Bahnaseni, BC", 46°34'25.30"N, 26°34'58.74"E,,
"Baia de Cris, HD", 46°10'22.86"N, 22°42'54.56"E,,
"Baia, HD",,,,
"Baiasesti, SV",,,,
"Baiceni-Cucuteni, IS", 47°17'49.17"N, 26°54'55.87"E,,
"Baicoi, PH", 45° 2'6.57"N, 25°51'9.14"E,,
"Baisoru de Jos, CS",,,,
"Baita, HD", 46° 1'49.96"N, 22°53'32.41"E,,
"Bala, MS", 46°42'47.57"N, 24°29'49.64"E,,
"Balcesti, CJ", 46°40'26.58"N, 23° 0'6.42"E,,
"Baldovin, HD", 46°12'35.27"N, 22°42'56.02"E,,
"Balesti, GJ", 45° 1'8.40"N, 23°12'40.65"E,,
"Balint, TM", 45°48'44.03"N, 21°51'28.83"E,,
"Balomir, HD", 45°35'11.76"N, 22°59'47.98"E,,
"Balsa/Balsea, HD", 46° 1'42.32"N, 23° 5'59.42"E,,
"Balsa/Posmus, HD",,,,
"Baltesti, PH", 45° 6'33.81"N, 26° 7'47.26"E,,
"Baltisoara/Runcu, GJ", 45° 7'8.96"N, 23° 7'4.27"E,,
"Bania, CS", 44°52'36.83"N, 22° 2'37.31"E,,
"Banloc, TM", 45°23'13.16"N, 21° 8'11.25"E,,
"Baia de Arama, MH", 44°59'59.98"N, 22°48'39.79"E,,
"Barbatesti, VL", 45°10'7.72"N, 24° 7'5.99"E,,
"Bârlesti, AB", 46°15'43.96"N, 23°17'7.53"E,,
"Bârsana, MM", 47°49'10.16"N, 24° 3'8.29"E,,
"Bârsesti, VN", 45°54'35.11"N, 26°44'14.63"E,,
"Baru, HD", 45°28'12.48"N, 23° 9'56.16"E,,
"Basarabasa, HD", 46°11'32.98"N, 22°35'9.23"E,,
"Basesti, MM", 47°28'55.15"N, 23° 8'43.55"E,,
"Bata, AR", 46° 1'0.79"N, 22° 2'9.03"E,,
"Batin, CJ", 47° 4'15.75"N, 24° 3'31.51"E,,
"Batrâna, HD", 45°47'33.36"N, 22°35'5.94"E,,
"Batrâni, PH", 45°18'54.45"N, 26° 8'47.04"E,,
"Bedeciu, CJ", 46°47'40.67"N, 23° 7'56.23"E,,
"Beibugeag, TL",,,,
"Beica, MS",,,,
"Beius, BH", 46°40'4.22"N, 22°20'56.98"E,,
"Belesti, AG",,,,
"Belin, BH",,,,
Belini ?,,,,
"Belint, TM", 45°44'57.91"N, 21°46'2.41"E,,
"Belotint, AR", 46° 4'34.93"N, 21°56'11.23"E,,
"Benesti, BH",,,,
"Benic, AB", 46°12'41.37"N, 23°35'20.96"E,,
"Berbesti, MM", 47°50'55.99"N, 23°55'58.03"E,,
"Berchisesti, SV", 47°31'20.29"N, 26° 1'48.06"E,,
"Beresti Bistrita, BC", 46°42'32.73"N, 26°51'23.64"E,,
"Beriu, HD", 45°47'24.97"N, 23°11'27.48"E,,
"Berliste, CS", 44°59'26.67"N, 21°28'0.45"E,,
"Berzunti, BC", 46°24'5.03"N, 26°38'35.47"E,,
"Betfia, BH", 46°58'32.31"N, 22° 0'55.81"E,,
Bia ?,,,,
"Bica-Româna, CJ", 46°47'36.06"N, 23° 4'49.07"E,,
"Bichigiu, BN", 47°25'31.82"N, 24°20'8.46"E,,
"Bidiu, CJ",,,,
"Biia/Sona, AB", 46°13'49.73"N, 24° 0'17.80"E,,
"Bilca, SV", 47°55'1.82"N, 25°44'56.46"E,,
"Binis, CS",,,,
"Birchis, AR", 45°57'52.72"N, 22°10'6.61"E,,
"Bircii, OT", 44°30'59.16"N, 24°36'5.89"E,,
"Bîrna, CS",,,,
"Bîrsa, AR", 46°23'3.42"N, 22° 4'22.50"E,,
"Bistra, AB",,,,
"Bistra, AB",,,,
"Bistrita Bârgaului, BN", 47°11'45.72"N, 24°47'29.01"E,,
"Bistrita, MH",,,,
"Biuabu Mare, BH",,,,
"Blaj, AB", 46°10'37.24"N, 23°55'1.25"E,,
"Blajel, SB", 46°12'38.93"N, 24°19'28.96"E,,
"Blajeni, HD", 46°13'34.27"N, 22°54'33.93"E,,
"Blandiana, AB", 45°57'58.97"N, 23°24'2.09"E,,
"Blejesti/Videle, OT",,,,
"Bobâlna, CJ", 47° 8'35.84"N, 23°38'26.66"E,,
"Bocicoel, MM", 47°41'55.23"N, 24°19'9.42"E,,
"Bocicoiel, MM", 47°41'55.23"N, 24°19'9.42"E,,
"Bociu, CJ", 46°46'44.54"N, 22°56'47.86"E,,
"Bocsa Româna, CS", 45°22'37.78"N, 21°43'15.80"E,,
"Bocsa, CS", 45°22'28.46"N, 21°42'35.37"E,,
"Bocsa-Româna, CS", 45°22'37.78"N, 21°43'15.80"E,,
"Bodia, CJ",,,,
"Bodia, SJ", 47° 3'33.68"N, 23° 3'55.44"E,,
"Bogdan Voda, MM", 47°41'25.39"N, 24°16'3.07"E,,
"Bogdana, IL",,,,
"Bogdanesti, BC", 46°12'44.95"N, 26°40'49.51"E,,
"Boian, SV",,,,
"Boisoara, VL", 45°26'23.64"N, 24°22'36.72"E,,
"Boita, SB", 45°38'2.56"N, 24°15'32.16"E,,
"Bolbota, BH",,,,
"Boldur, TM", 45°41'38.12"N, 21°47'3.91"E,,
"Borca, NT",,,,
"Borleasa, BN", 47°20'42.89"N, 24°10'31.34"E,,
"Borlesti, BC",,,,
"Borloveni, CS", 44°58'5.23"N, 22° 8'36.40"E,,
"Borod, BH", 46°59'27.71"N, 22°37'3.52"E,,
"Borolovenii Vechi, CS", 44°57'17.14"N, 22° 6'29.01"E,,
"Borsa, BH", 47° 1'26.36"N, 22°10'37.20"E,,
"Borsa, CJ", 46°56'2.94"N, 23°39'45.92"E,,
"Borsa, HD",,,,
"Borsa, MM", 47°39'18.00"N, 24°39'58.97"E,,
"Borumbaca, BH",,,,
"Borzesti, BC", 46°14'29.20"N, 26°49'3.37"E,,
"Borzesti, CJ", 46°32'18.72"N, 23°36'54.17"E,,
"Bosanci, SV",,,,
"Bosorod, HD", 45°41'8.30"N, 23° 5'33.47"E,,
"Bosorod, HD", 45°41'8.30"N, 23° 5'33.47"E,,
"Botean, BH", 47° 6'9.05"N, 22° 8'31.26"E,,
"Boteni, AG", 45°10'42.29"N, 25° 7'26.11"E,,
"Botiza, MM", 47°40'6.93"N, 24° 9'6.75"E,,
"Botosana, SV", 47°41'0.21"N, 25°56'30.91"E,,
"Botusana, SV", 47°41'0.21"N, 25°56'30.91"E,,
"Boz, HD",,,,
"Bozes, HD", 45°58'31.44"N, 23°10'26.76"E,,
"Bozovici, CS", 44°55'37.73"N, 22° 0'7.78"E,,
"Bradet, BH", 46°34'59.05"N, 22°31'50.71"E,,
"Bradisoru de Jos, CS", 45° 4'56.45"N, 21°43'15.28"E,,
"Braiesti, SV", 47°29'44.38"N, 26° 4'12.23"E,,
"Brailesti, Bcv",,,,
"Branesti, TM",,,,
"Branistea, CJ",,,,
"Branistea, HD",,,,
"Bratca, BH", 46°55'37.32"N, 22°36'9.18"E,,
"Brâznic, HD", 45°55'9.51"N, 22°39'5.73"E,,
"Breaza, BN",,,,
"Breazova, CS", 44°58'5.40"N, 22° 8'36.05"E,,
"Breb, MM", 47°44'47.05"N, 23°54'14.14"E,,
"Brebesti, MM",,,,
"Bretcu, CV", 46° 2'40.48"N, 26°18'9.45"E,,
"Broasca, BZ",,,,
"Broscauti, BT", 47°57'18.39"N, 26°27'9.18"E,,
"Broscautii Vechi, Bcv",,,,
"Brosteni, CS",,,,
"Brusturi, AR", 46°20'44.55"N, 22°35'7.63"E,,
"Brusturi, BH", 47° 9'26.56"N, 22°14'19.59"E,,
"Bucea, BH",,,,
"Buchile/Teleajan, PH",,,,
"Bucium, HD", 45°44'25.31"N, 23°11'3.52"E,,
"Bucium-Poieni, AB", 46°15'6.98"N, 23°11'55.38"E,,
"Bucsoaia, SV", 47°32'24.15"N, 25°48'57.59"E,,
Bucuresti, 44°25'28.74"N, 26° 5'14.03"E,,
"Buda, BZ", 45°29'56.03"N, 26°53'58.43"E,,
"Budesti, MM",,,,
"Budureasa, BH", 46°40'36.18"N, 22°29'47.22"E,,
"Buhusi, BC", 46°43'7.86"N, 26°42'11.36"E,,
"Bujor, Banat",,,,
"Bulsa, HS",,,,
"Bulz, BH", 46°54'46.47"N, 22°40'32.69"E,,
"Bulzesti de sus, HD", 46°18'5.27"N, 22°45'39.76"E,,
"Bulzesti, HD",,,,
"Bulzestii de Sus, HD", 46°18'5.27"N, 22°45'39.76"E,,
"Bumbesti, VL",,,,
"Bunesti, BH",,,,
"Bunila, HD", 45°41'35.03"N, 22°40'25.44"E,,
"Burjuc-Petresti, HD", 45°57'1.45"N, 22°29'20.01"E,,
"Burla, SV", 47°47'14.33"N, 25°55'39.65"E,,
"Butan, BH",,,,
"Buteasa, MM", 47°26'54.22"N, 23°32'51.06"E,,
"Buteni, CJ", 46°47'14.17"N, 22°58'50.71"E,,
"Butimanu, DB", 44°41'33.78"N, 25°53'42.20"E,,
Buzau Ardelean,,,,
"Cabesti, BH",46° 46' 15"N,22° 22' 24"E,,
"Cacica, SV",47° 38' 17"N,25° 54' 0"E,,
"Caianu Mare, BN",47° 13' 57"N,24° 9' 49"E,,
"Caianu Mic, BN",47° 14' 8"N,24° 9' 26"E,,
"Câineni, AG",45° 29' 48"N,24° 18' 29"E,,
"Caiuti, BC",46° 11' 0"N,26° 55' 47"E,,
"Cajvana, SV",47° 42' 16"N,25° 58' 10"E,,
"Calafindesti, SV",47° 51' 22"N,26° 7' 33"E,,
"Calarasi, DJ",43° 47' 37"N,24° 2' 42"E,,
"Calarasi, CL",44° 12' 0"N,27° 20' 0"E,,
"Calata, CJ",46° 48' 11"N,22° 59' 44"E,,
"Calatele, CJ",46° 46' 11"N,23° 0' 25"E,,
"Calea Mare, BH",46° 54' 29"N,22° 3' 54"E,,
"Calinesi, MM",47° 47' 8"N,23° 58' 17"E,,
"Calinesti-Oa?, SM",47° 54' 30"N,23° 17' 32"E,,
"Calnic/Câlnic, CS",45° 20' 18"N,21° 51' 27"E,,
"Camena/Baia, TL",44° 48' 35"N,28° 36' 28"E,,
"Camenca, Bcv",48° 1' 51"N,28° 41' 58"E,,
"Câmp, BH",46° 28' 11"N,22° 26' 44"E,,
"Câmpofeni, GJ",45° 3' 20"N,23° 8' 26"E,,
"Câmpulung Muscel, AG",45° 16' 0"N,25° 3' 0"E,,
"Capâlna, BH",46° 44' 10"N,22° 6' 17"E,,
"Caprioara, CJ",47° 6' 6"N,23° 31' 44"E,,
"Capsa Mare, BV",,,,
"Capu Cîmpului, SV",47° 30' 29"N,25° 58' 46"E,,
"Capu Codrului, SV",47° 31' 52"N,25° 59' 14"E,,
"Capul Câmpului, Bcv",,,,
"Capusul Mic, CJ",46° 47' 53"N,23° 15' 17"E,,
"Caradeni, BH",46° 51' 23"N,22° 5' 10"E,,
"Carand, AR",46° 26' 42"N,22° 5' 18"E,,
"Caransebes, CS",45° 25' 17"N,22° 13' 19"E,,
"Carasau, BH",46° 42' 24"N,22° 3' 14"E,,
"Carastau, HD",45° 48' 52"N,23° 12' 42"E,,
"Carbunari, CS",44°50'4" N,21°44'39" E,,
"Carmazanesti/Ilia, HD",46° 1' 1"N,22° 36' 56"E,,
"Carpinet, BH",46° 27' 21"N,22° 29' 37"E,,
"Cârtisoara, SB",45° 43' 34"N,24° 34' 28"E,,
"Cauasd, BH",46° 47' 27"N,21° 49' 12"E,,
"Cavadinesti, GL",46° 3' 57"N,28° 1' 7"E,,
"Ceahor, Bcv",48° 14' 24"N,25° 59' 24"E,,
"Cebza, TM",45° 33' 8"N,21° 3' 59"E,,
"Cerbal, HD",45° 46' 49"N,22° 43' 1"E,,
"Cerbia, HD",46° 2' 35"N,22° 27' 3"E,,
"Cerisa, SJ",47° 10' 53"N,22° 34' 0"E,,
"Cerisor, HD",45° 44' 43"N,22° 44' 53"E,,
"Cernuc, SJ",47° 8' 7"N,23° 28' 25"E,,
"Certau, GJ",,,,
"Certeju de Sus, HD",45° 58' 26"N,22° 58' 13"E,,
"Cetea-Cristesti, AB",46° 16' 46"N,23° 18' 15"E,,
"Ch(u)ibuicutul de câmpie/Chibulcutul de ..., CJ",,,,
"Cheiu, BH",,,,
"Cheja, SJ",,,,
"Chelmac, AR",46° 4' 54"N,21° 53' 4"E,,
"Cheresig, BH",47° 2' 17"N,21° 41' 6"E,,
"Cheriu, BH",47° 0' 45"N,22° 1' 19"E,,
"Cherpeniet/Carpinet, BH",46° 27' 21"N,22° 29' 37"E,,
"Cheud, SJ",47° 23' 1"N,23° 18' 58"E,,
"Chiliseni, SV",47° 33' 44"N,26° 28' 45"E,,
"Chincis/Chiucis, MS",46° 21' 8"N,24° 10' 59"E,,
"Chiojdu Mic, BZ",45° 20' 59"N,26° 12' 56"E,,
"Chiscau, BH",46° 33' 36"N,22° 33' 3"E,,
"Chislaca, AR",46° 33' 16"N,21° 57' 43"E,,
"Chistag, BH",47° 2' 28"N,22° 20' 56"E,,
"Chiteasca, OT",44° 32' 7"N,24° 35' 39"E,,
"Chizatau, TM",45° 45' 14"N,21° 43' 56"E,,
"Ciacova, TM",45° 30' 40"N,21° 7' 42"E,,
"Cianad/Ciamad, TM",46° 7' 59"N,20° 35' 0"E,,
"Ciceu Poieni, BN ",47° 18' 0"N,24° 5' 19"E,,
"Ciclova Montana, CS",45° 1' 33"N,21° 43' 47"E,,
"Ciclova Româna, CS",45° 0' 34"N,21° 42' 21"E,,
"Cihei, BH",46° 59' 56"N,21° 57' 9"E,,
"Cîineni, VL",45° 29' 43"N,24° 18' 32"E,,
"Cîmpulung, SV",47° 31' 51"N,25° 33' 5"E,,
"Cioara de Jos, AB",46° 23' N,23° 17' E,,
"Ciocanesti, SV",47° 28' 51"N,25° 16' 44"E,,
"Ciocârlau, MM",47° 41' 29"N,23° 24' 13"E,,
"Ciocile, BR",44° 49' 0"N,27° 15' 45"E,,
"Cireasi, BN",47° 24' 44"N,24° 11' 40"E,,
"Ciresu, MH",44° 49' 25"N,22° 32' 18"E,,
"Cîrjit, HD",45° 50' 40"N,22° 49' 39"E,,
"Ciuhoi, BH",47° 14' 22"N,22° 7' 31"E,,
"Ciucea, CJ",46° 57' 56"N,22° 49' 23"E,,
"Crucea/Chiril, SV",47° 23' 30"N,25° 34' 35"E,,
"Ciuchici, CS",44° 56' 39"N,21° 36' 55"E,,
"Ciuci/Stâna de Mure?, AB",46° 25' 31"N,23° 59' 50"E,,
"Ciucis, MS",,,,
"Ciudanovita, CS",45° 8.7' N,21° 47.9' E,,
"Ciudeiu, Bcv",48° 3' 4"N,25° 37' 18"E,,
"Ciugud, AB",46° 2' 45"N,23° 36' 46"E,,
"Ciuhoi, Bh",47° 14' 22"N,22° 7' 31"E,,
"Ciuleni, CJ",46° 46' 11"N,22° 58' 50"E,,
"Ciumafaia, CJ",46° 56' 37"N,23° 37' 21"E,,
"Ciumasi, BC",46° 40' 40"N,26° 50' 19"E,,
"Ciungani, HD",46° 11' 8"N,22° 30' 2"E,,
"Ciurea, CJ",,,,
"Clejani, GR",44° 18' 51"N,25° 43' 18"E,,
"Cliciova, TM",45° 37' 46"N,22° 4' 12"E,,
"Climesti, BC",46° 43' 25"N,26° 50' 56"E,,
"Clocotici, VL",45° 24' 23"N,24° 19' 46"E,,
"Clocucica Cernauti, Bcv",48° 22' 12"N,25° 39' 36"E,,
"Clopotiva, HD",45° 29' 43"N,22° 49' 20"E,,
"Cluj, CJ",46° 46' 0"N,23° 36' 0"E,,
"Coasta, CJ",46° 53' 8"N,23° 53' 49"E,,
"Cociuba de Jos, BH",46°43'60" N,22°0'0" E,,
"Cociuba Mare, BH",46° 44' 22"N,22° 0' 1? E,,
"Cojocna, CJ",46° 44' 54"N,23° 50' 0"E,,
"Comanesti, SV",47° 40' 10"N,25° 59' 15"E,,
"Comani, OT",44° 11' 31"N,24° 29' 26"E,,
"Comlausa, SM",48° 3' 8"N,23° 9' 20"E,,
"Comlos, TM",45° 53' 25"N,20° 37' 38"E,,
"Comorâste, CS",45° 10' 54"N,21° 33' 46"E,,
"Constantinesti, OT",44° 35' 39"N,24° 30' 5"E,,
"Copsa Mica, SB",46° 6' 45"N,24° 13' 5"E,,
"Corbesd, BH",,,,
"Corbi, AG",45° 16' 56.78"N,24° 48' 23.12"E,,
"Cordau, BH",46° 57' 57"N,21° 58' 31"E,,
"Corlata, SV",47° 32' 31"N,26° 3' 12"E,,
"Cornatel, SB",45° 48' 0"N,24° 21' 22"E,,
"Cornereva, CS ",45° 3' 52"N,22° 25' 17"E,,
"Cornesti, CJ",47° 2' 11"N,23° 40' 39"E,,
"Corpadea, CJ",46° 47' 49"N,23° 49' 59"E,,
"Cosbuc, BN",47° 21' 55"N,24° 23' 31"E,,
"Costeni, MM",47° 32' 13"N,23° 54' 52"E,,
"Costesti, AG",23° 54' 52"E,24° 52' 48"E,,
"Costesti, HD",45° 42' 5"N,23° 9' 56"E,,
"Costîna, SV",47° 41' 33"N,26° 7' 8"E,,
"Casva, MS",46° 47' 4"N,24° 53' 5"E,,
"Cotiglet, BH",46° 53' 22"N,22° 12' 5"E,,
"Cotougenii Mari, Basarabia",,,,
"Cotul Bainschi, Bcv",48° 12' 0"N,26° 12' 0"E,,
"Cotul-Ostritei, Bcv",48° 15' 36"N,26° 3' 0"E,,
"Covasint, AR",46° 12' 0? N,21° 36' 6"E,,
"Covragiu, HD",45°37'27.48"N,23° 1'17.40"E,,
"Cracesti/Mara, MM",47° 45' 19"N,23° 49' 52"E,,
"Craciunesti, HD",46° 0' 52"N,22° 52' 13"E,,
"Craguis, HD",45° 37' 33"N,22° 53' 54"E,,
"Craiesti, CJ",46° 36' 48"N,23° 35' 25"E,,
"Craiova, DJ",44° 20' 0"N,23° 49' 0"E,,
"Crâng/Patârlagele, BZ",45° 19' 27"N,26° 20' 43"E,,
"Crasna Ilschi, Bcv",48° 1' 7"N,25° 33' 34"E,,
"Cresuia, BH",46° 42' 32"N,22° 28' 52"E,,
"Criseni, CJ",46° 45' 7"N,24° 2' 53"E,,
"Cristioru de Jos, BH",46° 25' 5"N,22° 32' 12"E,,
"Cristor/Cristior, BH",47° 20' 57"N,22° 14' 21"E,,
"Cristur Sieu, BN",47° 7' 15"N,24° 18' 10"E,,
"Crivat, CL",44° 11' 46"N,26° 26' 21"E,,
"Cuciurul Mare, Bcv",48° 12' 36"N,25° 54' 36"E,,
"Cucuceni, BH",46° 33' 54"N,22° 25' 28"E,,
"Cucuieti, BC",46° 19' 38"N,26° 33' 18"E,,
"Cucuteni, IS",47° 16' 59"N,26° 55' 26"E,,
"Cuhea/Bogdan Voda, MM",47° 41' 30"N,24° 16' 0"E,,
"Curceag, MS",,,,
"Curechi, HD",,,,
"Curtea de Arges, AG",45° 8' 21"N,24° 40' 45"E,,
"Curtea, TM",45° 49' 43"N,22° 18' 28"E,,
"Curtecap, MS",,,,
"Cutina, TM",45° 49' 39"N,21° 55' 37"E,,
"Cuvesdia, AR",45° 57' 8"N,21° 40' 54"E,,
"Cuvin, AR",46° 9' 59"N,21° 35' 42"E,,
"Cuza Voda/Stancuta, BR",44° 53' 19"N,27° 48' 8"E,,
"Cuzap, BH",47° 12' 10"N,22° 24' 54"E,,
"Dabîca, HD",45° 39' 19"N,22° 44' 57"E,,
"Dabuleni, DJ",43° 48' 4"N,24° 5' 31"E,,
"Daia Româna, AB",46° 0' 25"N,23° 40' 5"E,,
"Dalboset, CS",44° 51' 50"N,21° 57' 30"E,,
"Dalci, CS",45° 24' 54"N,22° 18' 54"E,,
"Dâmbovicioara, AG",45° 26' 49"N,25° 13' 31"E,,
"Danesti, MM",47° 37' 11"N,23° 43' 56"E,,
"Deal, AB",45° 51' 26"N,23° 37' 23"E,,
"Dealu Mare, HD",46° 2' 30"N,22° 47' 45"E,,
"Delani, BH",46° 41' 36"N,22° 20' 25"E,,
"Delureni/Beznea, BH",46° 57' 43"N,22° 36' 39"E,,
"Densus, HD",45° 34' 49"N,22° 47' 26"E,,
"Denta, TM",45° 21' 14"N,21° 14' 56"E,,
"Desesti, MM",47° 46' 20"N,23° 51' 32"E,,
"Deu?u, CJ",46° 53' 49"N,23° 31' 3"E,,
"Dicanesti, BH",46° 53' 42"N,22° 6' 0"E,,
"Dimca, Bcv",48° 5' 46"N,25° 58' 30"E,,
"Doba, SM",47° 44' 21"N,22° 42' 36"E,,
"Dabâca, CJ",46° 58' 21"N,23° 40' 28"E,,
"Dobra, HD",45° 54' 44"N,22° 34' 10"E,,
"Dobric, BN",47° 14' 48"N,24° 7' 39"E,,
"Dobrica, HD",,,,
"Dobricel, BN",,,,
"Dodesti, IS",46° 21' 12"N,27° 53' 26"E,,
"Domnesti, AG",45° 12' 32"N,24° 50' 23"E,,
"Domnesti, BN",47° 2' 5"N,24° 28' 35"E,,
"Dorgos, AR",46° 3' 1"N,21° 50' 14"E,,
"Dorna Arini, SV",47° 20' 34"N,25° 25' 44"E,,
"Dorna Candrenilor, SV",47° 21' 21"N,25° 16' 9"E,,
"Dornesti, VS",,,,
"Dorotea-Frasin, SV",47° 30' 0"N,25° 47' 52"E,,
"Doroteia-Plutonita, SV",47° 28' 50"N,25° 47' 29"E,,
"Dragaesti, DB",44° 57' 55"N,25° 17' 12"E,,
"Dragasani, VL", 44°39'40.00"N, 24°15'38.00"E,,
"Dragea/Turnu Magurele, IF",43° 45' 0"N,24° 52' 0"E,,
"Dragesti, BH",46° 53' 53"N,22° 7' 44"E,,
"Dragoiesti/Dragoiesti, SV",47° 32' 44"N,26° 5' 4"E,,
"Dragomiresti, MM",47° 40' 3"N,24° 17' 50"E,,
"Dragonesd/Dragoniesd, BH",46° 37' 45"N,22° 23' 39"E,,
"Dragosa, SV",47° 38' 58"N,25° 38' 17"E,,
"Dragoslavele, AG",45° 20' 52"N,25° 10' 9"E,,
"Dragus, BV",45° 45' N,24° 47' E,,
"Dragusani, BC",46° 17' 53"N,26° 59' 11"E,,
"Dumbrava, CJ",46° 49' 30"N,23° 13' 3"E,,
"Dumbravita de Codru, BH",46° 39' 20"N,22° 9' 49"E,,
"Dumbravita, BH",46° 47' 39"N,22° 9' 14"E,,
"Dumbravita, BN",47° 15' 28"N,24° 11' 4"E,,
"Dumbravita, HD",45° 53' 11"N,22° 42' 12"E,,
"Dumitra, AB",46° 5' 48"N,23° 40' 58"E,,
"Dumitresti, VR",45° 34' 0"N,26° 56' 0"E,,
"Dupa-Piatra, HD",46° 11' 13"N,23° 0' 25"E,,
"Dusesti, BH",46° 50' 13"N,22° 10' 44"E,,
"Enisala, TL",44° 52' 42"N,28° 49' 7"E,,
"Eselnita, CS",,,,
"Eselnita, MH",44° 42' 7"N,22° 21' 48"E,,
"Colonia Fabricii, TM",45° 45' 58"N,22° 18' 52"E,,
"Fagaras, BV",45° 50' 41"N,24° 58' 27"E,,
"Faget, TM",45° 51' 0"N,22° 10' 48"E,,
"Fagetel, HD",45° 52' 53"N,22° 35' 24"E,,
"Falticeni, SV",47° 27' 35"N,26° 18' 0"E,,
"Faraoani, BC",46° 25' 55"N,26° 54' 43"E,,
"Farcasa, NT",47° 9' 42"N,25° 50' 7"E,,
"Fâsca, BH",46° 59' 3"N,22° 19' 45"E,,
"Feldioara, BV",45° 48' 20"N,25° 35' 30"E,,
"Feldru, BN",47° 16' 39"N,24° 35' 53"E,,
"Feleac, CJ",46° 42' 50"N,23° 37' 23"E,,
"Feleag, MS",46° 14' 27"N,25° 0' 51"E,,
"Fenes, AB",46° 6' N,23° 17' E,,
"Ferdes, HD",,,,
"Feregi, HD",45° 47' 30"N,22° 38' 57"E,,
"Feresti, MM",47° 49' 53"N,23° 57' 7"E,,
"Feresti, VS",46° 47' 0"N,27° 42' 0"E,,
"Filea de jos, CJ",46° 37' 13"N,23° 30' 30"E,,
"Filioara/Agapia, NT",47° 9' 37"N,26° 16' 45"E,,
"Finciu, CJ",46° 45' 15"N,23° 2' 28"E,,
"Fiscut, AR",46° 1' 41"N,21° 23' 44"E,,
"Fitionesti, VN",45° 59' 10"N,27° 3' 27"E,,
"Fizes, CS",45° 21' 48"N,21° 35' 33"E,,
"Fizesti, HD",45° 32' 30"N,23° 5' 7"E,,
"Floresti, CJ",46° 44' 52"N,23° 29' 27"E,,
"Foeni, TM",45° 29' 55"N,20° 52' 33"E,,
"Formadia/Soimus, HD",45° 55' 1"N,22° 53' 23"E,,
"Fornadia, HD",45° 57' 59"N,22° 50' 59"E,,
"Fratautii Noi, SV",47° 55' 46"N,25° 50' 23"E,,
"Fratautii Vechi, SV",47° 54' 27"N,25° 52' 38"E,,
"Frumosu, SV",47° 36' 24"N,25° 38' 52"E,,
"Fundoaia, BC",46° 18' 37"N,27° 12' 9"E,,
"Fundu Moldovei, SV",47° 31' 44"N,25° 25' 57"E,,
"Sadova, SV",47° 33' 34"N,25° 29' 2"E,,
"Furesti, VL",44° 34' 0"N,24° 0' 59"E,,
"Gadalin, CJ",46° 50' 25"N,23° 50' 53"E,,
"Gainesti, SV",47° 25' 10"N,25° 55' 5"E,,
